repo_key,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
kedro-org/kedro,68.0,146.5,0.03188602442333786,2.1544117647058822,1.0,11.0,0.6076548241662847,2.1544117647058822,2.0,11.5,0.5423314708802165,0.26573426573426573,2.0,2.0,0.029850746268656716,0.05970149253731343,18.0,3.4285714285714284,8.0,11.0,0.845662989400822,9.0,0.12602820211515864,0.5212976553210463,16.0,0.3000916993454307,0.3184811237928007,4.0,2.3823529411764706,0.0,14313.0,213.22388059701493,96.0
keras-team/keras,561.0,2607.0,0.008298319327731092,4.647058823529412,3.0,242.0,0.680725397989767,4.647058823529412,3.0,107.0,0.5456629437673817,0.4798619102416571,2.0,239.0,0.42628774422735344,0.5632798573975044,15.0,4.941335661483618,16.0,22.0,0.9625,21.0,0.0375,0.4935264083280153,31.0,0.2364590445851187,0.14795008912655971,6.0,3.5989304812834226,0.00020327270921222248,135360.5,243.61367673179396,107.0
kozea/weasyprint,66.0,284.0,0.06666666666666667,4.3076923076923075,3.0,21.0,0.4945344129554656,4.3076923076923075,4.0,16.0,0.4568764568764569,0.23076923076923078,1.0,54.0,0.8181818181818182,0.8181818181818182,3.0,3.970846306255307,8.0,1.0,1.0,0.0,0.0,0.46704448524628084,5.0,0.4706312206312206,0.3181818181818182,3.0,1.893939393939394,0.0,30536.0,464.3030303030303,345.5
linkml/linkml,89.0,180.0,0.019132685646447115,2.022471910112359,1.0,39.0,0.7151984695612882,2.022471910112359,2.0,15.0,0.5253135887108065,0.463212143928036,2.0,2.0,0.02247191011235955,0.0449438202247191,9.0,2.056179775280899,5.0,18.0,0.8108108108108109,17.0,0.16216216216216217,0.5063342141264219,23.5,0.24188594179170675,0.3484029484029484,4.0,2.1797752808988764,0.0,19671.0,208.13235294117646,132.75
marcosschroh/dataclasses-avroschema,22.0,48.0,0.1038961038961039,2.1818181818181817,1.0,9.0,0.5246212121212122,2.1818181818181817,1.0,10.0,0.5791666666666667,0.23076923076923078,1.0,8.0,0.2926829268292683,0.3,4.0,2.585635359116022,6.0,3.0,0.875,2.0,0.125,0.2953086419753086,5.0,0.380952380952381,0.3170731707317073,2.0,1.5,0.0,3194.0,145.1818181818182,75.0
materials-consortia/optimade-python-tools,72.0,209.0,0.04088419405320814,2.9027777777777777,1.5,25.0,0.549740932642487,2.9027777777777777,2.0,15.0,0.5077751196172249,0.2966507177033493,2.0,5.0,0.07042253521126761,0.11538461538461539,18.0,2.5611681136543014,7.0,4.0,0.9577464788732394,3.0,0.04225352112676056,0.4901665581597222,8.0,0.3791219203435406,0.38571428571428573,3.0,2.3472222222222223,0.0,11871.0,164.875,91.0
matplotlib/matplotlib,760.0,208.5,0.0003588516746411483,0.27378694139648363,0.0,16.0,0.9454113749619772,0.27378694139648363,0.0,12.0,0.9430490554588462,0.7945616743866872,2.0,3.0,0.003947368421052632,0.006578947368421052,8.0,1.6784037558685445,4.0,656.0,0.09461235216819974,649.0,0.8527589965803317,0.6621626672726312,661.0,0.02724303700585702,0.03679375604365244,4.0,2.8312478272961137,0.02127659574468085,190646.0,250.63757762144658,70.0
matrix-org/synapse,394.0,1722.0,0.011512379750827945,4.370558375634518,1.0,117.0,0.7026538530658661,4.370558375634518,3.0,62.0,0.6162121314788572,0.46952988972722,3.0,3.5,0.009276774285307921,0.02211626565310347,12.5,2.4369587151302667,8.0,36.0,0.9086294416243654,34.0,0.08629441624365482,0.4604214742597279,41.5,0.18905399907011308,0.3859228916318504,4.0,2.5287845335550747,0.0,112528.0,285.52243581959056,163.75
mikedh/trimesh,132.0,588.0,0.034004163775156145,4.454545454545454,2.0,80.0,0.6683280978467936,4.454545454545454,3.0,36.0,0.5247371675943104,0.43950995405819293,2.0,59.0,0.44696969696969696,0.4772727272727273,9.0,3.7321881484897395,9.5,4.0,0.9771859819569744,3.0,0.02281401804302568,0.29040051475676526,10.0,0.38908365956419527,0.20454545454545456,3.0,1.628787878787879,0.0,54064.5,409.57954545454544,208.75
missionpinball/mpf,247.0,652.0,0.01074684835917185,2.6437246963562755,1.0,53.0,0.820347815246045,2.6437246963562755,2.0,41.0,0.5554427731453728,0.5737463126843658,4.0,59.0,0.23649951783992285,0.26456927033108324,7.0,3.297584755151784,7.0,42.0,0.8349758776106139,41.0,0.16502412238938613,0.47801153023800674,48.0,0.22337880841842753,0.23013871374527112,4.0,2.396761133603239,0.01566951566951567,47673.5,194.00313765182187,117.0
mne-tools/mne-python,512.5,2206.5,0.008360342360630293,4.288924958941536,1.0,250.0,0.8642448219650332,4.288924958941536,3.0,29.5,0.5242035080890769,0.629857648996405,3.0,104.5,0.20348837209302326,0.22674418604651161,7.5,4.629437161949791,10.0,22.0,0.9593808925204275,21.0,0.0406191074795726,0.4330870197192387,27.0,0.29905068409880387,0.22393822393822393,4.0,2.27027027027027,0.0004228366852750566,215492.0,421.2606177606178,123.5
mwaskom/seaborn,110.5,195.5,0.01647779088385738,1.7805305305305306,0.0,55.0,0.8119144866932477,1.7805305305305306,1.0,14.0,0.5625403723757956,0.5100708502024291,2.0,15.0,0.14312247350595433,0.1627745001638807,6.0,2.9441801901678595,7.0,10.0,0.9196428571428571,9.0,0.08035714285714286,0.5269325964557421,15.0,0.19447644608195067,0.14151651651651653,2.0,1.340895941813373,0.0,31506.5,284.6949338312901,38.5
narwhals-dev/narwhals,109.0,344.5,0.03182794524537644,3.1799971984871833,1.0,34.0,0.7652324540460307,3.1799971984871833,2.0,19.0,0.5442062907566851,0.4577259475218659,2.0,46.0,0.48784637822070975,0.5028011204481793,4.0,3.037021673991999,7.0,19.0,0.7236346516007532,17.0,0.16129032258064516,0.4074756318635748,24.0,0.32910221655120353,0.1197560015741834,2.0,1.7758620689655173,0.0,29429.5,294.56611570247935,60.5
